date,inst_f buy,inst_t buy,inst_txf_net,inst_txf_oi,inst_mtx_net,inst_mtx_oi,txf_open,txf_high,txf_low,txf_close,txf_volume,tse_open,tse_high,tse_low,tse_close,tse_volume,PutCallVol,PutCallRatio
2019/1/2,-9525531024,-47841420,-11255,35769,-4637,-3566,9760,9762,9506,9529,165919,9725.2695,9737.6797,9542.5195,9554.1396,723.31,100.13,107.87
2019/1/3,-8876753519,-676229506,-2518,33251,2598,-968,9488,9547,9433,9443,130622,9494.25,9554.5303,9474.4697,9492.4199,898.57,81.91,98.21
2019/1/4,-9286665740,-1010008792,-3601,29651,1595,623,9367,9410,9305,9370,168543,9427.2402,9427.2402,9319.2803,9382.5098,1061.87,98.18,92.14
2019/1/7,8233740113,927803271,6510,37763,9204,3419,9541,9588,9490,9563,144887,9460.2002,9596.3496,9460.2002,9590.2998,920.57,113.88,108.83
2019/1/8,-953535515,309232983,-2188,35575,1227,4646,9600,9611,9532,9558,120551,9591.5596,9600.9404,9547.6299,9563.5996,773.13,116.39,108.17
2019/1/9,12109564071,677467536,8004,44806,2887,2735,9608,9755,9602,9709,160570,9584.6299,9741.6396,9584.6299,9738.3096,1261.45,115.37,120.78
2019/1/10,-745000032,196797004,2438,47243,174,2917,9710,9713,9673,9694,95986,9731.1104,9731.1104,9683.2002,9720.6904,876.41,114.4,119.56
2019/1/11,5870564482,330073506,2119,49362,2435,5352,9760,9803,9724,9750,131199,9753.6299,9796.9805,9736,9759.4004,940.3,109.53,128.15
2019/1/14,-4206395196,172637397,-5224,44138,-4159,1193,9738,9756,9660,9689,111772,9737.6699,9762.3701,9677.4902,9708.2197,716.4,95.13,119.84
2019/1/15,9109080612,374210075,8029,52955,5920,3961,9743,9817,9715,9794,132371,9701.9297,9806.04,9701.9297,9806.04,980.71,111.09,129.74
2019/1/16,-1371365328,457295134,-2643,48317,-2880,2329,9781,9804,9755,9784,57162,9781.3496,9803.9902,9763.8096,9763.8096,949.28,93.84,137.03
2019/1/17,1183081681,-219050160,4070,52387,3806,6135,9777,9834,9721,9779,142681,9773.3096,9826.25,9759.5098,9789.1504,910.46,97.7,127.14
2019/1/18,5015866425,750001648,-55,52332,-78,6057,9825,9846,9770,9821,115258,9781.3896,9842.7998,9771.1504,9836.0596,960.32,112.09,132.6
2019/1/21,5397114758,-1164136677,-245,53296,3433,4654,9885,9919,9856,9864,119813,9870.2695,9919.9404,9870.2695,9889.4004,920.07,123.43,137.27
2019/1/22,1125837377,-68624098,714,54016,-1577,3053,9841,9868,9822,9845,93360,9880.54,9894.6602,9855.4697,9894.6602,773.11,111.63,133.67
2019/1/23,834523241,370466001,-5762,48254,-4459,-1345,9830,9860,9807,9819,106247,9869.54,9873.3896,9828.0303,9846.4004,653.92,107.13,131.76
2019/1/24,2116959315,68228924,3441,51696,2678,1329,9833,9884,9820,9860,104490,9865,9892.8203,9847.3203,9877.1201,832.85,111.25,129.17
2019/1/25,15797919881,713322376,9414,61112,7258,8579,9928,9989,9911,9968,116391,9923.3896,9980.0801,9918.21,9969.6104,1119.6,119.37,148.49
2019/1/28,6069484978,405230710,-2126,58986,-1610,6969,10000,10018,9975,9986,81385,10006.46,10020.5996,9990.0703,10013.3301,927.9,124.87,151.76
2019/1/29,-1754874365,-457269813,-6779,52207,-5018,1951,9932,9936,9880,9922,113689,9944.71,9952.3398,9893.96,9931.5898,881.98,104.97,131.04
2019/1/30,813376602,243960325,-1787,50420,-1306,690,9925,9956,9896,9924,83952,9915.9697,9959.0303,9909.8096,9932.2598,993.66,101.33,139.41
2019/2/11,13048754625,-186410340,2482,52906,3694,4321,10010,10067,9966,9998,101414,10029.8398,10065.5195,9988.8301,10004.25,1321.88,106.32,139.42
2019/2/12,9221739639,-7173776,5077,57992,3267,7552,10049,10093,10029,10084,77940,10032.0801,10100.2305,10032.0801,10097.7402,1232.37,142.78,144.62
2019/2/13,3393716423,-347195143,-5224,52781,-2601,4921,10125,10128,10055,10085,96268,10123.6104,10140.9805,10074.3398,10090.5801,1386,93.08,134.5
2019/2/14,-852617939,210448920,3637,56449,634,5431,10045,10124,10034,10079,95955,10095.9902,10135.6201,10082,10089.0098,1122.73,114.4,131.11
2019/2/15,-5231124983,-177568704,617,57066,2019,7450,10040,10116,10022,10042,111580,10111.1797,10135.1602,10055.5,10064.7803,1127.7,110.48,135.46
2019/2/18,4976359163,64701744,825,58788,4125,7987,10111,10161,10098,10138,96852,10096.9404,10165.7695,10096.9404,10145.2803,1029.46,136.8,144.78
2019/2/19,1454505771,534301822,1030,59821,1356,9331,10123,10158,10104,10143,71591,10152.1104,10173.4697,10143.1504,10152.2598,1015.68,131.58,147.52
2019/2/20,10843565364,-78177453,6259,65347,4052,5275,10183,10262,10177,10256,68044,10181.9404,10272.46,10181.9404,10272.46,1322.72,100.23,147.74
2019/2/21,4848117173,-349926260,435,65794,-2182,3045,10255,10327,10232,10323,97327,10282.3203,10319.5303,10256.5303,10319.5303,1241.39,120.25,151.63
2019/2/22,1279531988,-285294097,-5720,60075,-3369,-328,10272,10312,10245,10308,87939,10309.0195,10322.9199,10269.9502,10322.9199,1166.9,113.54,143.13
2019/2/25,12384912468,506451083,-691,59388,521,177,10350,10378,10324,10366,104871,10343.4502,10390.9297,10343.4502,10390.9297,1338.72,115.52,147.85
2019/2/26,4831292203,-352567923,996,60384,-755,-578,10381,10394,10336,10352,100522,10403.0303,10416.9102,10368.8604,10391.5498,1395.99,115.07,147.38
2019/2/27,4524151315,-1411648610,-423,59961,-1261,-1890,10375,10384,10325,10361,83415,10385.8096,10403.0498,10343.5596,10389.1699,1335.01,111.93,143.87
2019/3/4,-489435219,-461925292,-8381,51587,-3286,-5204,10390,10400,10276,10312,122683,10385.25,10402.3897,10313.1797,10349.8799,1375.7,94.59,124.34
2019/3/5,-7027523946,-351216326,3082,53212,-250,374,10260,10306,10248,10275,97388,10323.25,10334.3398,10295.4404,10305.2598,1043.79,95.27,124.37
2019/3/6,2514223877,-474132720,5005,58217,2732,3113,10283,10333,10282,10322,90466,10328.1797,10359.1201,10327.9004,10357.1504,998.68,120.03,144.79
2019/3/7,-3251323354,-69450169,599,58793,-2875,322,10315,10335,10260,10261,95909,10359.4697,10367.9805,10299.46,10311.6797,1078.92,110.34,136.44
2019/3/8,-11035414705,-422987131,-2593,56200,-2582,-2260,10230,10244,10162,10201,127865,10274.2803,10274.2803,10204.21,10241.75,1048.54,99.28,127.11
2019/3/11,-10357029790,150861180,-1092,55108,-1023,-3283,10170,10234,10168,10227,78112,10224.2695,10269.2998,10214.0195,10250.2803,909.08,124.8,128.73
2019/3/12,3077687578,779224430,1439,56571,3738,359,10301,10385,10300,10348,109094,10294.3701,10382.1201,10294.3701,10343.3301,1100.95,121.24,143.04
2019/3/13,2318438810,238620784,810,57376,-1313,-936,10325,10365,10305,10363,99791,10331.2695,10373.3203,10331.2695,10373.3203,946.24,105.33,131.9
2019/3/14,-2223564976,253587913,-6009,51366,-2668,-3600,10390,10392,10322,10337,92014,10391.2998,10407.2695,10339.6397,10348.6504,1140.85,118.35,132.94
2019/3/15,5563305140,514122234,4478,55853,1857,-1779,10355,10430,10347,10413,105842,10374.6602,10439.2402,10370,10439.2402,1533.18,128.8,142.09
2019/3/18,5251838839,138872439,221,56074,487,-1292,10437,10487,10420,10478,80996,10455.1904,10512.7002,10445.7402,10512.7002,1161.02,113.02,139.43
2019/3/19,-224613005,147771270,1309,57383,190,-1102,10483,10511,10461,10501,73231,10497.4004,10525.5996,10484.6904,10512.3203,1149.4,126.87,144.28
2019/3/20,5595463750,273138541,2707,56702,-700,5283,10493,10549,10492,10545,49292,10529.2998,10556.8096,10506.96,10551.5596,1189.34,92.22,143.29
2019/3/21,9908772467,-380653500,5799,63502,1937,3216,10538,10593,10532,10588,90646,10563.9297,10612.3398,10551.6699,10609.5498,1113.76,121.14,149.64
2019/3/22,2848179606,670184473,-4281,59221,-2629,587,10645,10659,10560,10613,107628,10642.5703,10667.9404,10589.4697,10639.0703,1307.1,111.76,138.71
2019/3/25,-5182970620,-497201284,-1803,57418,-7195,-6608,10478,10486,10423,10437,100109,10535.1201,10535.1201,10458.79,10479.4805,1079.98,108.78,111.01
2019/3/26,-167786961,-188435374,1381,58799,534,-6074,10482,10538,10480,10523,87186,10506.6797,10559.2002,10506.6797,10559.2002,1031.02,117.92,122.67
2019/3/27,-2008392105,293759630,-1420,56391,-74,-2170,10506,10533,10473,10520,88484,10542.6797,10556.75,10515.8604,10542.7002,1033.64,106.69,143.14
2019/3/28,47031569,-365690353,4510,60901,697,-1473,10450,10515,10444,10493,83266,10529.0195,10536.2598,10499.29,10536.2598,889.05,106.11,131.35
2019/3/29,6527707679,201291118,-3055,57846,-474,-1947,10551,10600,10476,10598,128133,10551.9902,10641.04,10525.2695,10641.04,1214.01,117.94,149.82
2019/4/1,9134451608,976774867,920,58766,-994,-2941,10679,10715,10615,10640,114428,10714.6797,10735.0703,10627.0098,10642.6299,1533.45,109.31,153.78
2019/4/2,8002038046,88600012,1441,60207,2327,-614,10688,10704,10668,10678,78326,10695.4697,10728.3799,10685.0996,10690.2998,1336.68,127.81,157.74
2019/4/3,2834511105,-351624979,-474,59733,-1019,-1588,10688,10728,10671,10695,92554,10725.1699,10741.5596,10690.2305,10704.3799,1163.1,104.68,176.86
2019/4/8,6797449496,48036125,3046,62779,4431,2843,10779,10795,10745,10770,91782,10759.96,10807.0498,10759.96,10800.5703,1559.52,137.74,182.47
2019/4/9,5162837785,-143447394,4347,67126,2207,5050,10801,10848,10782,10843,70207,10805.3897,10851.5996,10793.7695,10851.5996,1385.36,147.56,192.32
2019/4/10,-207396847,-312875940,-3012,64114,-2349,2786,10820,10869,10812,10861,69294,10839.9297,10875.6504,10815.6104,10868.1397,1287.74,114.1,205.71
2019/4/11,-5313582732,-192091196,-1239,62890,-1300,1426,10868,10885,10775,10806,108022,10869.2402,10887.1201,10797.7598,10808.7695,1377.64,118.3,178.98
2019/4/12,1560258561,-312838511,216,63106,-801,625,10818,10831,10782,10802,74303,10820.9404,10836.4404,10782.0195,10805.2998,1196.1,121.94,175.81
2019/4/15,4887176695,387326206,-1652,61456,-403,214,10865,10895,10843,10876,72144,10849.8398,10897.21,10849.5498,10875.5996,1190.21,129.21,180.09
2019/4/16,5676237019,-290310370,-872,60562,265,479,10870,10932,10863,10930,78811,10905.6299,10927.8496,10876.3398,10927.8496,1311.2,116.1,185.34
2019/4/17,9424255422,13604421,3562,62747,734,4877,10954,11010,10948,11005,57677,10961.6104,11016.9199,10961.6104,10997.2598,1670.7,93.18,157.78
2019/4/18,1917093890,-227014575,264,63011,-3949,928,11022,11039,10920,10938,117374,11038.2402,11077.9902,10926.8496,10962.0195,1696.76,117.76,148.9
2019/4/19,9340177871,-789674774,882,63893,1865,2793,11020,11036,10954,10973,88747,11017.6904,11045.0801,10950.4297,10968.5,1268.7,112.71,136.86
2019/4/22,-946434627,-294042902,-3159,60734,-1068,1725,11008,11030,10958,10978,77272,10994.5195,11027.4902,10974.8203,10987.71,1115.34,112.34,133.61
2019/4/23,3425385385,-961035721,1523,62257,1270,2995,10988,11024,10934,11023,103721,10994.2803,11025.6797,10949.2998,11025.6797,1112.51,116.77,141.55
2019/4/24,-1240261768,280682475,-6139,56118,-3067,-107,11050,11057,10970,11009,108052,11054.0195,11070.8496,10995.8301,11027.6397,1209.29,99.67,133.94
2019/4/25,755910589,-197554868,4735,60853,4635,4528,10990,11041,10977,11030,84333,11017.7305,11046.7695,11006.6797,11039.8604,1131.69,121.58,139.49
2019/4/26,-6476339287,-678414454,-6632,54221,-7067,-2539,10962,10972,10900,10934,117727,10986.5303,10986.5303,10906.4404,10952.4697,1137.92,112.97,120.12
